label,gender,ideology_binary,ideology_multiclass,tweet
0008c4fab9e97623a60380ee9c88cb20,female,left,left,"¡Feliz 28 de febrero a todas las andaluzas y andaluces!. Por una Andalucía donde el presente, y el futuro, sea sinónimo de derechos, de igualdad plena, de trabajo estable y con condiciones dignas. Una Andalucía de nuevas oportunidades, de esperanza."
0008c4fab9e97623a60380ee9c88cb20,female,left,left,"Feliz año nuevo, feliz esperanza 💕. Querido 2023, ¡allá vamos! ."
0008c4fab9e97623a60380ee9c88cb20,female,left,left,"🇩🇪🇪🇸 ¡Un placer encontrarme con mi homólogo alemán, @user !. Compartimos la apuesta por salarios dignos y justos para construir sociedades más igualitarias. Viajaré pronto a Berlín y reforzaremos nuestra cooperación por una Europa con el trabajo decente en el centro."
0008c4fab9e97623a60380ee9c88cb20,female,left,left,"El conflicto en Ucrania ha supuesto una dramática paralización de la actividad académica en todo el país. España quiere que estudiantes e investigadores puedan tener un lugar seguro donde continuar trabajando. Porque el saber experto es, siempre, una garantía de futuro."
0008c4fab9e97623a60380ee9c88cb20,female,left,left,La Academia de la Llingua Asturiana realiza un trabajo de gran valor para fomentar el uso del asturiano y proteger los derechos lingüísticos de sus hablantes.. Hoy en Oviedo he podido conocer de primera mano esta labor tan importante y al personal que la hace posible.
0008c4fab9e97623a60380ee9c88cb20,female,left,left,"Cumplir con la ley y con los derechos laborales no es una opción, es una obligación."
0008c4fab9e97623a60380ee9c88cb20,female,left,left,"Todo un placer haber podido conocer a la comunidad española en Uruguay, un país que ha dado oportunidades a tanta gente.. Gracias al embajador, mi querido @user  por la acogida. Mucha suerte en esta nueva etapa que comienzas 💕"
0008c4fab9e97623a60380ee9c88cb20,female,left,left,"La contratación indefinida comienza a ser la norma. La reducción de la temporalidad está beneficiando especialmente a las mujeres y los jóvenes, quienes han sufrido con mayor dureza la precariedad. El trabajo digno y con derechos debe ser la seña de identidad de nuestro país."
0008c4fab9e97623a60380ee9c88cb20,female,left,left,Que Amazon no tuviera sindicato era la verdadera noticia. La democracia no tiene fronteras y las empresas sólo son si respetan los derechos humanos y sindicales. Que sea la primera de muchas.
0008c4fab9e97623a60380ee9c88cb20,female,left,left,🎥 Hoy detallaré en rueda de prensa la aprobación en el [HASHTAG] de la primera prestación por desempleo para el sector cultural y artístico y una nueva norma que mejora los incentivos para la creación de trabajo digno.. 🔴 En directo:
0008c4fab9e97623a60380ee9c88cb20,female,left,left,"Hoy, como Gobierno, nos reunimos con los agentes sociales para evaluar la crisis económica y abordar una respuesta colectiva.. Los agentes sociales estuvieron a la altura durante la pandemia y estoy convencida de que lo volverán a estar."
0008c4fab9e97623a60380ee9c88cb20,female,left,left,"¡Buenos días! En unos minutos, a partir de las 9.00h, estaré en @user para comentar los datos de paro que hoy publicamos y la actualidad política.. 🔴 En directo en"
0008c4fab9e97623a60380ee9c88cb20,female,left,left,Una de las mejores noticias del día. Apostar por la investigación científica salva vidas y es fuente de esperanza.
0008c4fab9e97623a60380ee9c88cb20,female,left,left,@user Graciñas por organizar este encuentro ❤ Es clave poder dialogar sobre todos los interesantes temas que tratamos ayer y poner en valor el impulso y la fuerza de las generaciones más jóvenes. Un abrazo 😘
0008c4fab9e97623a60380ee9c88cb20,female,left,left,"🇧🇷 Ha sido un placer reunirme con @user  ministra de Igualdad Racial en el nuevo Gobierno de @user . Estoy convencida de que vienen tiempos de transformación para dignificar la vida de la población negra e indígena, para construir un Brasil de todos y todas."
0008c4fab9e97623a60380ee9c88cb20,female,left,left,"Gracias al [HASHTAG] por este espacio para la reflexión sobre retos globales y económicos. Hacer del trabajo estable y digno, especialmente para los más jóvenes, una seña de identidad de nuestro país es uno de los desafíos más importantes y urgentes que tenemos."
0008c4fab9e97623a60380ee9c88cb20,female,left,left,"@user Gracias Mónica! Sigamos avanzando en derechos, siempre pensando en quien más lo necesita 😘"
0008c4fab9e97623a60380ee9c88cb20,female,left,left,"🇺🇾 Hoy en Montevideo me he podido reunir con la vicepresidenta, @user  para seguir estrechando la colaboración entre países hermanos como son España y Uruguay. Tenemos retos compartidos: avanzar en más derechos, más trabajo de calidad y más igualdad."
0008c4fab9e97623a60380ee9c88cb20,female,left,left,✅ Los incentivos a la contratación deben contar con una premisa clara: crear trabajo digno a través de la contratación indefinida y a jornada completa. Este es el principal objetivo de la nueva medida aprobada en el [HASHTAG] en línea con la Ley de Empleo y la reforma laboral.
0008c4fab9e97623a60380ee9c88cb20,female,left,left,"La remisión a Cortes del Convenio 188 de la @user tiene como objetivo reforzar la protección legal de los trabajos en la pesca. Queremos entornos laborales sanos, que no compitan en bajos salarios, con relaciones laborales de calidad e igualitarias."
0008c4fab9e97623a60380ee9c88cb20,female,left,left,"La [HASHTAG] busca ser motor de nuevas oportunidades de trabajo digno.. Es un impulso de la formación, de orientación personalizada y de la creación de la nueva Agencia Española de Empleo que modernizará y digitalizará sus estructuras."
0008c4fab9e97623a60380ee9c88cb20,female,left,left,Todo el ánimo y la fuerza a la gente de @user para afrontar los debates sobre los grandes retos del siglo XXI tras la pandemia. Habéis sido un actor central para impulsar el cambio en marcha desde 2015. Siempre sois una fuente de inspiración y esperanza.
0008c4fab9e97623a60380ee9c88cb20,female,left,left,Lamentamos esta trágica noticia en días tan señalados. Quiero enviar todo mi afecto y cariño a las familias de los trabajadores fallecidos al derrumbarse parte del techo de un colegio en Gijón. Espero una pronta recuperación para los heridos. .
0008c4fab9e97623a60380ee9c88cb20,female,left,left,"Las personas que integran la Inspección de Trabajo y Seguridad Social son un ejemplo de dedicación al servicio público. Hoy homenajeamos a varias mujeres y hombres que han velado, durante años, por los derechos laborales y la seguridad y la salud en el trabajo."
0008c4fab9e97623a60380ee9c88cb20,female,left,left,"La renovación del poder judicial es una obligación democrática y legal. No es creíble la enésima excusa del [POLITICAL_PARTY], en esta ocasión, de Núñez [POLITICIAN].. El bloqueo permanente de la renovación del CGPJ degrada nuestra democracia."
0008c4fab9e97623a60380ee9c88cb20,female,left,left,"La [HASHTAG] representa el 10% de nuestro PIB y genera 2 millones de empleos. ✨ Este modelo es motor de nuevas oportunidades, de innovación social, de trabajos estables y de calidad, con más igualdad y participación de las trabajadoras y trabajadores."
0008c4fab9e97623a60380ee9c88cb20,female,left,left,🇧🇷 Me he reunido en Brasilia con el nuevo ministro Trabajo de @user  @user  para exponer nuestra reforma laboral y conocer su agenda de transformación para Brasil. El pueblo brasileño vuelve a tener como ministro a un defensor de las personas trabajadoras.
0008c4fab9e97623a60380ee9c88cb20,female,left,left,La democracia debe estar presente en la toma de decisiones y también en el mercado de trabajo.. En la @user con @user 👇🏼
0008c4fab9e97623a60380ee9c88cb20,female,left,left,Este gran acuerdo no puede hacerse en perjuicio de los productores de nuestro país.. Hay margen para que las grandes distribuidoras reduzcan sus beneficios en este momento excepcional.
0008c4fab9e97623a60380ee9c88cb20,female,left,left,El secretario general de @user  @user  ha destacado la necesidad de que el modelo español de diálogo social sirva como ejemplo a otros estados.. También me ha trasladado el apoyo del sindicalismo europeo a una reforma que avanza en derechos laborales.
0008c4fab9e97623a60380ee9c88cb20,female,left,left,"En la tramoya de un teatro, en una mesa de sonido, manejando las luces de un escenario hay profesionales imprescindibles. Ese personal técnico y auxiliar, tantas veces contratado en régimen de falsos autónomos, se sumará ahora a la nueva protección laboral al sector artístico."
0008c4fab9e97623a60380ee9c88cb20,female,left,left,El programa de [POLITICAL_PARTY] es imposible de llevar a cabo con sindicatos fuertes. Sólo hay una medida que podrían aplicar y a la que se resisten 👇🏼
0008c4fab9e97623a60380ee9c88cb20,female,left,left,El Gobierno debe escuchar la calle y las demandas que nos exige la ciudadanía. Ese es nuestro empeño y compromiso para paliar los efectos de la crisis y la guerra en Ucrania.. Sobre ello hablamos en @user 👇🏼
0008c4fab9e97623a60380ee9c88cb20,female,left,left,Europa se la juega en esta Cumbre. La negociación del Gobierno de España sobre los precios de la energía es vital.. Los países europeos tienen que entender lo que está viviendo cada día la ciudadanía y los sectores productivos.
0008c4fab9e97623a60380ee9c88cb20,female,left,left,"El reto hoy es ensanchar la democracia y hay que hacerlo sumando a todas las administraciones, a todas las gentes y organizaciones sociales.. Gracias @user por esta iniciativa valiente."
