label,gender,ideology_binary,ideology_multiclass
e481972abf2addf30248945f62b036c2,female,left,moderate_left
bfe499ac1796a1bec201f4ae4d4686b1,female,left,moderate_right
f59ee4b979c85584ae51937d8b5719d1,female,left,moderate_left
fc313d7fe45256ffc939aae87d388264,female,left,moderate_left
b1ee817c8a6e31ab3545b0741be74069,female,left,moderate_left
d36d67b9ff7293e41e29786f34200efd,female,left,moderate_left
c71fbff77f5f8b7a79ebd1690db5df94,female,left,moderate_left
9567b00840918647c29de6dad7e8dbcd,female,left,moderate_left
31b202d3728c3e0258ee6fbd826ca7f3,female,left,moderate_left
0c3004ab16d434118b116ce19afc50e5,female,left,moderate_left
b8bf43e58900a96bb3bd2659191a9811,female,right,moderate_right
4a3a4fa65644fc92ac355ae3a1465609,female,left,moderate_left
0ebb4c17bad0a79b6287d24e4d743be8,female,right,moderate_right
aa850ca346656406275d571a044b2c4a,female,right,right
f13ce45c135c310a92c4d3c9ef800573,female,left,moderate_left
8f5cf131668037049e303ff60b5e2899,female,left,moderate_left
c6b4c844e037ebcd04cb6e12dc7aaa5b,female,left,moderate_left
7ec550a546ac55c5c8248fad69d61065,female,right,moderate_right
85d22b67349615b672bf93bc27fdaf41,female,left,moderate_left
e26e5bb272673e69bddd92d67923ee24,female,left,moderate_left
30deae9274eed7f44ef8f6cf85a92119,female,left,left
298ea1da37faea2d99bb9f7efc13eb41,female,left,left
83aeb44d075ecc288114ef5236f2c1f4,female,left,moderate_left
9aa2da2b635d49825ebdd937265fb7ba,female,left,moderate_left
dce8c5da9f11e3ebc030b99f3d2adf1e,female,left,moderate_left
26fdc1814b3f55b6a8198747df7cc552,female,left,left
5b756e8ead25501a672f43c2a05f1995,female,left,moderate_left
dd4515f2e8756f32e4216298210f37f7,male,left,moderate_left
75c3896e0521125daa0e444e605ec339,female,left,left
ae863f9c6147b78f51d882a60d44b637,female,left,moderate_left
ee327e9493d88bf23654796eeebd07ba,female,left,left
b130f6733feea0d59a8302b96bf2005a,female,left,left
4725a8bd895daaf17a5d42734cd6fa82,female,right,moderate_right
d7fe3ab436f5d2fd90c3cbeb79d35fd7,female,left,moderate_left
744099dbc1ad9168ccc3f2c4563d31d6,female,left,moderate_left
6d1dde719fb70275ec6fd72960994c40,female,left,moderate_left
4b941cab7a5c5ac56cf32fc19e26c4c5,female,left,moderate_left
f0d7244167fc637a6054d1832c2117c1,female,left,moderate_left
0ace45297e9470ed0e59a735ebdad46d,female,left,moderate_left
df781c41162ee1d76636bb93486475b7,female,left,moderate_left
d06bc0355e8aab6f424d15541402afeb,female,left,moderate_left
ef5eb5fe4d4f8d24fd363bae13fbee66,female,left,moderate_left
c491c04c422a98bcd86e982eab294c69,female,left,moderate_left
434066e692d27072258b2b14d2ea88ad,male,left,moderate_left
f77ee79c75fda51bedd840765b044d35,female,left,moderate_left
a7759a614fbf374d5527873f71c4c706,female,right,moderate_right
b254ac3e5a7b85697bcbc19e0994fdb1,female,left,moderate_left
78243c857ea8815205d2b6e6baa35a22,female,left,moderate_left
da436b140b2aabb84d4ac92c7f406a38,male,right,moderate_right
c0b53ffcc651db9495ad702b3f348e46,female,left,moderate_left
fdfdc16adcc0d83d36506afad18c97d4,female,left,moderate_left
c1675b645c14c4f6e04707fc65852e32,male,left,moderate_left
